,title,height,length,art_type,medium_text,date_text,age,house,fecha,price,author,performance,source,country
1445,"Untitled by Roberto Matta, circa 1944",464.82,236.0,POSTWAR AND CONTEMPORARY ART," Charcoal, white chalk and pastel on two assembled papers, mounted on canvas ",1944,78,Millon & Associes,2022-06-27,62520.0, Roberto Matta,-420,Mutual Art,-
1456,"Untitled by Agustin Cárdenas, 1970",142.24,5.0,Modern and Contemporary Art, Lithograph on vellum ,1970,52,Jeschke Van Vliet,2022-06-24,211.0, Agustin Cárdenas,-420,Mutual Art,-
1459,"Festival d' Avignon. 1977 by Roberto Matta, 1977",185.42000000000002,53.0,ESTAMPES - TABLES and SCULPTURES of the 19th and 20th centuries - NEW ART - DECO ART, Lithograph in colors ,1977,45,Thierry de Maigret,2022-06-24,136.0, Roberto Matta,-420,Mutual Art,-
1464,"Le conmer - 1976 by Roberto Matta, 1976",65.0,50.0,"Editions : prints, illustrated books and limited editions", Etching and aquatint on wove paper ,1976,46,Piasa,2022-06-23,478.0, Roberto Matta,-420,Mutual Art,-
1466,"Eve D'Adeva by Roberto Matta, 1987",30.0,,MODERN AND CONTEMPORARY ART, varnished ceramic ,1987,35,Pandolfini,2022-06-22,1190.0, Roberto Matta,-420,Mutual Art,-
1467,"Muñeca and Instrumentos, from Niños Mexicanos (two works) by Gustavo Montoya, 1985",27.0,21.5,Prints & Multiples Showcase Auction, Serigraphs in colors on wove paper ,1985,37,"Heritage Auctions, Dallas",2022-06-22,650.0, Gustavo Montoya,-420,Mutual Art,-
1468,"Máscara, from Rufino Tamayo 18 aguafuertes by Rufino Tamayo, 1984",30.0,22.0,Prints & Multiples Showcase Auction, Etching in colors on handmade paper pulp ,1984,38,"Heritage Auctions, Dallas",2022-06-22,2199.0, Rufino Tamayo,-420,Mutual Art,-
1469,"Mujer en Rojo, from Mujeres by Rufino Tamayo, 1969",29.625,22.125,Prints & Multiples Showcase Auction, Lithograph in colors on Rives BFK paper ,1969,53,"Heritage Auctions, Dallas",2022-06-22,1899.0, Rufino Tamayo,-420,Mutual Art,-
1470,"Eve S'Adama by Roberto Matta, 1987",30.0,,MODERN AND CONTEMPORARY ART, varnished ceramic ,1987,35,Pandolfini,2022-06-22,794.0, Roberto Matta,-420,Mutual Art,-
1471,"Chrysalis III by Alicia Penalba, 1974",129.54,5.0,MOBLIER ART OBJECTS SALE, Bronze with dark brown patina ,1974,48,Art Valorem,2022-06-22,64531.0, Alicia Penalba,-420,Mutual Art,-
1475,"Untitled. [Circa 1960]. by Roberto Matta, Circa 1960",104.14,5.0,A THOUSAND NIGHTS OF DREAM V - Geneviève & Jean-Paul Kahn Collection, colored pencil and graphite ,1960,62,Pierre Bergé & Associates,2022-06-21,3374.0, Roberto Matta,-420,Mutual Art,-
1480,"""Flores "" by Fernando Botero, 1967",71.12,38.0,STREET ART EXPERIENCE #1 : Art urbain et Art contemporain - Mobilier design et industriel, Reproduction in color ,1967,55,Compiegne Dominique Loizillon [Actéon],2022-06-18,, Fernando Botero,-420,Mutual Art,-
1483,"Paisahe con Luna by Rufino Tamayo, 1979",19.5,27.0,June Exceptional Estates Auction, Etching ,1979,43,Blackwell Auctions,2022-06-18,2999.0, Rufino Tamayo,-420,Mutual Art,-
1484,"Cabeza En Rojo (Head in Red) by Rufino Tamayo, circa 1979",21.75,29.5,June Exceptional Estates Auction," Etching in colours with carborundum, on Guarro paper ",1979,43,Blackwell Auctions,2022-06-18,1699.0, Rufino Tamayo,-420,Mutual Art,-
1485,"""Maison Mariduque "" by Fernando Botero, 1970",71.12,38.0,STREET ART EXPERIENCE #1 : Art urbain et Art contemporain - Mobilier design et industriel, Reproduction in color ,1970,52,Compiegne Dominique Loizillon [Actéon],2022-06-18,, Fernando Botero,-420,Mutual Art,-
1488,"The eye of the song by Roberto Matta, 1991",165.1,49.0,CONTEMPORARY ART," Watercolor, pastel and charcoal on paper ",1991,31,Crait + Müller,2022-06-17,5129.0, Roberto Matta,-420,Mutual Art,-
1492,"Rice Granary, Bali by Miguel Covarrubias, circa 1943",15.0,11.0,Prints & Works on Paper from the Collection of Dr. Cornelius Osgood Showcase, Lithograph on paper ,1943,79,"Heritage Auctions, Dallas",2022-06-17,1099.0, Miguel Covarrubias,-420,Mutual Art,-
1493,"Platicando by Jesus Leuus, circa 1965",16.0,19.75,Modern + Contemporary Art +Design, oil on masonite ,1965,57,Clars Auction Gallery,2022-06-17,950.0, Jesus Leuus,-420,Mutual Art,-
1495,"Paisaje con río by Antonio Berni, 1951",71.12,5.0,Auction 23, Tempera ,1951,71,CUBO,2022-06-16,, Antonio Berni,-420,Mutual Art,-
1496,"Don Quijote und Sancho Panza by Francisco Toledo, 1963",58.42,7.0,Auction 276, Watercolour over preliminary drawing in pen and ink ,1963,59,Galerie Kornfeld,2022-06-03,1556.0, Francisco Toledo,-420,Mutual Art,-
1497,"Stillleben mit Früchten by Fernando Botero, 1976",147.32,4.0,Auction 276, Colour lithograph ,1976,46,Galerie Kornfeld,2022-06-03,1140.0, Fernando Botero,-420,Mutual Art,-
