DATE,TB3MS,returns
1979-08-01,9.52,0.030303030303030276
1979-09-01,10.26,0.07773109243697474
1979-10-01,11.7,0.14035087719298245
1979-11-01,11.79,0.007692307692307665
1979-12-01,12.04,0.02120441051738764
1980-01-01,12.0,-0.0033222591362125353
1980-02-01,12.86,0.07166666666666655
1980-03-01,15.2,0.1819595645412131
1980-04-01,13.2,-0.13157894736842102
1980-05-01,8.58,-0.35
1980-06-01,7.07,-0.17599067599067597
1980-07-01,8.06,0.1400282885431401
1980-08-01,9.13,0.13275434243176187
1980-09-01,10.27,0.12486308871851026
1980-10-01,11.62,0.13145082765335925
1980-11-01,13.73,0.18158347676419972
1980-12-01,15.49,0.12818645302257825
1981-01-01,15.02,-0.030342156229825723
1981-02-01,14.79,-0.015312916111850927
1981-03-01,13.36,-0.09668695064232591
1981-04-01,13.69,0.02470059880239517
1981-05-01,16.3,0.1906501095690285
1981-06-01,14.73,-0.09631901840490797
1981-07-01,14.95,0.014935505770536261
1981-08-01,15.51,0.03745819397993322
1981-09-01,14.7,-0.0522243713733076
1981-10-01,13.54,-0.07891156462585036
1981-11-01,10.86,-0.19793205317577545
1981-12-01,10.85,-0.0009208103130754486
1982-01-01,12.28,0.13179723502304141
1982-02-01,13.48,0.09771986970684043
1982-03-01,12.68,-0.05934718100890213
1982-04-01,12.7,0.001577287066246047
1982-05-01,12.09,-0.04803149606299206
1982-06-01,12.47,0.03143093465674118
1982-07-01,11.35,-0.08981555733761037
1982-08-01,8.68,-0.23524229074889869
1982-09-01,7.92,-0.0875576036866359
1982-10-01,7.71,-0.02651515151515149
1982-11-01,8.07,0.04669260700389111
1982-12-01,7.94,-0.01610904584882278
1983-01-01,7.86,-0.010075566750629705
1983-02-01,8.11,0.03180661577608124
1983-03-01,8.35,0.0295930949445129
1983-04-01,8.21,-0.01676646706586815
1983-05-01,8.19,-0.0024360535931792215
1983-06-01,8.79,0.07326007326007322
1983-07-01,9.08,0.03299203640500581
1983-08-01,9.34,0.028634361233480066
1983-09-01,9.0,-0.03640256959314769
1983-10-01,8.64,-0.039999999999999925
1983-11-01,8.76,0.01388888888888884
1983-12-01,9.0,0.027397260273972712
1984-01-01,8.9,-0.011111111111111072
1984-02-01,9.09,0.02134831460674147
1984-03-01,9.52,0.047304730473047174
1984-04-01,9.69,0.017857142857142794
1984-05-01,9.83,0.014447884416924683
1984-06-01,9.87,0.004069175991861629
1984-07-01,10.12,0.025329280648429542
1984-08-01,10.47,0.034584980237154284
1984-09-01,10.37,-0.009551098376313405
1984-10-01,9.74,-0.06075216972034703
1984-11-01,8.61,-0.11601642710472282
1984-12-01,8.06,-0.06387921022067355
1985-01-01,7.76,-0.037220843672456705
1985-02-01,8.27,0.06572164948453607
1985-03-01,8.52,0.030229746070133068
1985-04-01,7.95,-0.06690140845070414
1985-05-01,7.48,-0.0591194968553459
1985-06-01,6.95,-0.0708556149732621
1985-07-01,7.08,0.018705035971223083
1985-08-01,7.14,0.008474576271186418
1985-09-01,7.1,-0.0056022408963585235
1985-10-01,7.16,0.008450704225352101
1985-11-01,7.24,0.011173184357541999
1985-12-01,7.1,-0.019337016574585753
1986-01-01,7.07,-0.00422535211267594
1986-02-01,7.06,-0.0014144271570014633
1986-03-01,6.56,-0.07082152974504252
1986-04-01,6.06,-0.07621951219512191
1986-05-01,6.15,0.014851485148514865
1986-06-01,6.21,0.009756097560975618
1986-07-01,5.83,-0.06119162640901765
1986-08-01,5.53,-0.05145797598627788
1986-09-01,5.21,-0.05786618444846303
1986-10-01,5.18,-0.0057581573896353655
1986-11-01,5.35,0.032818532818532864
1986-12-01,5.53,0.033644859813084294
1987-01-01,5.43,-0.018083182640144746
1987-02-01,5.59,0.02946593001841613
1987-03-01,5.59,0.0
1987-04-01,5.64,0.008944543828264706
1987-05-01,5.66,0.0035460992907803135
1987-06-01,5.67,0.0017667844522968323
1987-07-01,5.69,0.003527336860670305
1987-08-01,6.04,0.06151142355008776
1987-09-01,6.4,0.0596026490066226
1987-10-01,6.13,-0.042187500000000044
1987-11-01,5.69,-0.07177814029363772
1987-12-01,5.77,0.014059753954305698
1988-01-01,5.81,0.006932409012131657
1988-02-01,5.66,-0.025817555938037806
