pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Peru,Pintura,Lienzo,Oleo,Retrato,60 x 80 cm,Artelista desde: 2 de Noviembre de 2017,"pintura, arte, espatulas, art, spatulas, tormund",90.013 MX$,Estupido y Sensual Tormund,Elizabeth Albert,https://www.artelista.com/obra/5269495236417565-estupido-y-sensual-tormund.html
Espana,Pintura,Lienzo,Acrilico,Paisaje,73 x 60 cm,Artelista desde: 6 de Noviembre de 2017,"tropical, cuba, isla, ciclon, Hhuracan, caribe",100.014 MX$,Lo que Irma nos dejo!,Carmelo ( Carmelohijo). Gonzalez Gutierrez,https://www.artelista.com/obra/7346745377204441-lo-que-irma-nos-dejo.html
Italia,Pintura,Tela,Acrilico,Paisaje,80 x 80 cm,Artelista desde: 10 de Noviembre de 2017,"pittura, contemporanea, originale, surrealismo, art, italia",100.014 MX$,Il tempio dell'anima,Giuseppe Sticchinain,https://www.artelista.com/obra/5250220497522318-il-tempio-dellanima.html
Espana,Pintura,Oleo,Retrato,Tabla,150 x 122 cm,Artelista desde: 18 de Noviembre de 2017,"japon, retrato, japan, portrait",100.014 MX$,El sonido del koto,Adrian GoMa,https://www.artelista.com/obra/1296508459785029-el-sonido-del-koto.html
Italia,Pintura,Tela,Acrilico,Paisaje,80 x 80 cm,Artelista desde: 18 de Noviembre de 2017,"pittura, contemporanea, originale, surrealismo, art, italia",120.017 MX$,La mia casa e la mia mente,Giuseppe Sticchinain,https://www.artelista.com/obra/1084226868637258-la-mia-casa-la-mia-mente.html
Chile,Pintura,Otros,Oleo,Otros,43 x 141 cm,Artelista desde: 12 de Noviembre de 2017,"Un habitante, Rieles del Desierto, antiguedad",84.401 MX$,"Pintao, Habitante 1",Roxana Werner,https://www.artelista.com/obra/6278730945714610-pintao-habitante-1.html
Espana,Pintura,Paisaje,Acrilico,Lienzo,99 x 99 cm,Artelista desde: 21 de Octubre de 2017,"surrealismo, maestros, salvador, dali, pintores, arte",160.023 MX$,Homenaje a Salvador Dali,Carmelo ( Carmelohijo). Gonzalez Gutierrez,https://www.artelista.com/obra/2760117753184786-homenaje-a-salvador-dali.html
Argentina,Pintura,Otros,Media Mixta,Tela,180 x 150 cm,Artelista desde: 10 de Noviembre de 2017,"#arquitectiura, #arte Latinoamericano, #arte argentino, #arquitectura, #abstracto, #organico",Obra vendida,Tiempo para todo,Gisela Gaffoglio,https://www.artelista.com/obra/5720066686900698-tiempo-para-todo.html
Mexico,Pintura,Papel,Acuarela,Paisaje,54 x 35 cm,Artelista desde: 20 de Julio de 2017,"paisaje, cielo, luz, cerros, efecto de luz",12.342 MX$,LUZ SOBRE EL AJUSCO,Luis Armida ,https://www.artelista.com/obra/8263054557033648-luz-sobre-el-ajusco.html
Espana,Pintura,Paisaje,Acrilico,Lienzo,73 x 60 cm,Artelista desde: 6 de Noviembre de 2017,"velocipedos, juguetes, toys, inocencia, caballitos, madera",100.014 MX$,La Inocencia olvidada.,Carmelo ( Carmelohijo). Gonzalez Gutierrez,https://www.artelista.com/obra/3343508290176486-la-inocencia-olvidada.html
Argentina,Pintura,Tela,Acrilico,Paisaje,180 x 150 cm,Artelista desde: 5 de Noviembre de 2017,"#arte Latinoamericano, #organico, abstracto, #delicado, #arquitectura, #arte argentino",93.354 MX$,Magia,Gisela Gaffoglio,https://www.artelista.com/obra/9167030243514949-magia.html
Argentina,Pintura,Tela,Media Mixta,Otros,190 x 150 cm,Artelista desde: 11 de Noviembre de 2017,"#arquitectiura, #abstracto, #organico, #arte Latinoamericano, #arte argentino, #arquitectura",Obra vendida,Seduccion bohemia,Gisela Gaffoglio,https://www.artelista.com/obra/3110371659730276-seduccion-bohemia.html
Mexico,Pintura,Papel,Acuarela,Paisaje,54 x 35 cm,Artelista desde: 13 de Julio de 2017,"amanecer, reflejos, montanas, folklore, agua",12.342 MX$,IZTACCIHUATL Y LAGO DE CHALCO,Luis Armida ,https://www.artelista.com/obra/4094550514002343-iztaccihuatl-y-lago-de-chalco.html
Reino Unido,Pintura,Bodegones,Acrilico,Tabla,46 x 61 cm,Artelista desde: 21 de Septiembre de 2017,"ropa, color, patrones, abundancia, David Agenjo",Obra vendida,Laundry II,David Agenjo,https://www.artelista.com/obra/8503115565873455-laundry-ii.html
Italia,Pintura,Tela,Acrilico,Marina,80 x 80 cm,Artelista desde: 5 de Mayo de 2017,"italia, originale, paesaggio, contemporanea, art, pittura",Obra vendida,Specialita mediterranee 2,Giuseppe Sticchinain,https://www.artelista.com/obra/3848225414990559-specialite-mediterranee-2.html
Argentina,Pintura,Paisaje,Media Mixta,Tela,180 x 150 cm,Artelista desde: 30 de Mayo de 2017,"#Italia, #arquitectura, #ciudades, #arte argentino, #arte Latinoamericano, #arte emergente",94.014 MX$,Phlox,Gisela Gaffoglio,https://www.artelista.com/obra/8093088042084452-phlox.html
